updated_as_on,project_name,application_status,payment_status,scrutiny_status,correction_status,extension_status,complain_against_status,comments
2024-10-10 15:21:07,SHREE BALAJI RESIDENCY,Done,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:21:07,Shree Balaji Aangan,Done,Done,Certificate Generated,Not Submited,Certificate Generated,No Complaint Found,
2024-10-10 15:21:07,Shree Balaji Raj Residency,Done,Done,In Process (Desk 2 Comment),Not Submited,Not Submited,No Complaint Found,Upload-1) Re-endorsed / Revalidated / Further commencement certificate. 2) Format -D and CC mismatch.
2024-10-10 15:21:07,Shree Balaji Pride,Done,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:23:15,Radha Krishna Nagri Phase -1,Pending,Done,In Process (Desk 1 Comment),Not Submited,Not Submited,No Complaint Found,"1. Title report of 2019. Upload latest (6 mnths) TR a/w Title Flow-in “Format A” of Cir 28/2021 dt 8.3.2021.2. Plot details mismatch in Allotment Letter, Agreement for Sale, deviation sheets. 3. Provide dated Deviation Sheets for AL & AFS on Promoter’s Letterhead with all deviation clauses. Upload 1) Layout copy, Building plans approved by competent authority 2) Valid Commencement certificate approved by competent authority 3) Declaration about Commencement Certificate as per circular no 32 1. Title report of 2019. Upload latest (6 mnths) TR a/w Title Flow-in “Format A” of Cir 28/2021 dt 8.3.2021.2. Plot details mismatch in Allotment Letter, Agreement for Sale, deviation sheets. 3. Provide dated Deviation Sheets for AL & AFS on Promoter’s Letterhead with all deviation clauses. Upload 1) Layout copy, Building plans approved by competent authority 2) Valid Commencement certificate approved by competent authority 3) Declaration about Commencement Certificate as per circular no 32"
2024-10-10 15:23:40,OM VENTURES,Done,Done,In Process (Desk 2 Comment),Not Submited,Not Submited,No Complaint Found,"Kindly upload:- 1) Legal title report in format A as per circular No.28 dated 08/03/2021 2) Details of Encumbrance Certificate on company letterhead with sign and stamp. 3) Revalidated commencement certificate, as it is more than one year old and work is not started. 4) CERSAI details.5)Performa of the allotment letter 6)Declaration of commencement certificate in Format-D as per circular No. 32 dated 7/6/21.7)As Promoter is not landowner, add Promoter (all) landowner/ Investor, Field details"
2024-10-10 15:24:07,SOLITAIRE,Done,Done,Certificate Generated,Not Submited,Certificate Generated,No Complaint Found,
2024-10-10 15:24:07,Solitaire Wing B,Done,Done,In Process (Desk 1 Comment),Not Submited,Not Submited,No Complaint Found,"1) Upload Revalidated CC (As it is more than one-year-old ) vide condition no.1of uploaded CC dated 28.02.2020 or acknowledgement copy of plinth checking/completion submitted to planning authority.	2) In Format- D,  status of Revalidated CC/acknowledgement copy of plinth checking/completion in Sr. No."
2024-10-10 15:25:25,SABA CITY,Done,Done,In Process (Desk 1 Comment),Not Submited,Not Submited,No Complaint Found,"1. Legal Title Report_Provide correct CTS no./ Survey no. as mentioned in application. Kindly check the CTS no. mentioned in 'owners of land'. Provide Development agreement Document serial Number in Legal Title Report. 2. In the Landowner/Investor's Tab, upload full Registered Development Agreement.3. The landowner's name mentioned in Tab does not match the names on the title report. Kindly mention the exact name of landowner as mentioned in legal title report.4. Deviation sheet for AL missing. Provide dated Deviation Sheets for Allotment Letter on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Allotment Letter in full. If there are no deviation please mention “no deviation in Allotment Letter “5. Deviation sheet for AFS missing. Provide dated Deviation Sheets for Agreement for Sale on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Agreement for Sale in full. If there are no deviation please mention “no deviation in agreement for sale “6. Kindly provide readable copy of sale deed bearing document no. 5492/2023 in other legal tab.7. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. 1. Financial Encumbrance Declaration -, Date of issuance is missing on the declaration., Reconcile project address (PH no.) in encumbrance declaration with registration application.		2. Form 3 (CA Certificate) -, Reconcile total funds available for the project with the means of finance available in Table F., Details of Table C is missing., Submit form 3 on CA letterhead.		Please contact SRO/Helpdesk for further assistance or attend open house meeting. Application is resubmitted after 189 days without proper compliance vide comments dated 01.06.2023. 1) Upload readable copy of approved layout plan & Valid Commencement certificate/Sanad issued by competent authority without splitting. he application will be scrutinized only on uploading the same. 2) The uploaded information is inappropriate/ incomplete. Hence, application will be processed vide scenario 1 to 4 of MahaRERA order No.32/2022 dated 01.07.2022. 1. Legal Title Report_Provide correct CTS no./ Survey no. as mentioned in application. Kindly check the CTS no. mentioned in 'owners of land'. Provide Development agreement Document serial Number in Legal Title Report. 
2. In the Landowner/Investor's Tab, upload full Registered Development Agreement.3. The landowner's name mentioned in Tab does not match the names on the title report. Kindly mention the exact name of landowner as mentioned in legal title report.4. Deviation sheet for AL missing. Provide dated Deviation Sheets for Allotment Letter on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Allotment Letter in full. If there are no deviation please mention “no deviation in Allotment Letter “5. Deviation sheet for AFS missing. Provide dated Deviation Sheets for Agreement for Sale on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Agreement for Sale in full. If there are no deviation please mention “no deviation in agreement for sale “6. Kindly provide readable copy of sale deed bearing document no. 5492/2023 in other legal tab.7. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. 1. Financial Encumbrance Declaration -, Date of issuance is missing on the declaration., Reconcile project address (PH no.) in encumbrance declaration with registration application.		2. Form 3 (CA Certificate) -, Reconcile total funds available for the project with the means of finance available in Table F., Details of Table C is missing., Submit form 3 on CA letterhead.		Please contact SRO/Helpdesk for further assistance or attend open house meeting. Application is resubmitted after 189 days without proper compliance vide comments dated 01.06.2023. 1) Upload readable copy of approved layout plan & Valid Commencement certificate/Sanad issued by competent authority without splitting. he application will be scrutinized only on uploading the same. 2) The uploaded information is inappropriate/ incomplete. Hence, application will be processed vide scenario 1 to 4 of MahaRERA order No.32/2022 dated 01.07.2022. 1. Legal Title Report_Provide correct CTS no./ Survey no. as mentioned in application. Kindly check the CTS no. mentioned in 'owners of land'. Provide Development agreement Document serial Number in Legal Title Report. 
2. In the Landowner/Investor's Tab, upload full Registered Development Agreement.3. The landowner's name mentioned in Tab does not match the names on the title report. Kindly mention the exact name of landowner as mentioned in legal title report.4. Deviation sheet for AL missing. Provide dated Deviation Sheets for Allotment Letter on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Allotment Letter in full. If there are no deviation please mention “no deviation in Allotment Letter “5. Deviation sheet for AFS missing. Provide dated Deviation Sheets for Agreement for Sale on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Agreement for Sale in full. If there are no deviation please mention “no deviation in agreement for sale “6. Kindly provide readable copy of sale deed bearing document no. 5492/2023 in other legal tab.7. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. 1. Financial Encumbrance Declaration -, Date of issuance is missing on the declaration., Reconcile project address (PH no.) in encumbrance declaration with registration application.		2. Form 3 (CA Certificate) -, Reconcile total funds available for the project with the means of finance available in Table F., Details of Table C is missing., Submit form 3 on CA letterhead.		Please contact SRO/Helpdesk for further assistance or attend open house meeting. Application is resubmitted after 189 days without proper compliance vide comments dated 01.06.2023. 1) Upload readable copy of approved layout plan & Valid Commencement certificate/Sanad issued by competent authority without splitting. he application will be scrutinized only on uploading the same. 2) The uploaded information is inappropriate/ incomplete. Hence, application will be processed vide scenario 1 to 4 of MahaRERA order No.32/2022 dated 01.07.2022."
2024-10-10 15:25:51,Parvati Niwas,Done,Done,In Process (Desk 1 Comment),Not Submited,Not Submited,No Complaint Found,"1. Title Report not as per format. Upload latest (6 months) Title Report a/w Title Flow-in “Format A” of Cir 28/2021 dt 8.3.2021.					2. Provide dated Deviation Sheets for Agreement for Sale on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Agreement for Sale in full. If there are no deviation please mention “no deviation in agreement for sale “	3. Provide dated Deviation Sheets for Allotment Letter on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Allotment Letter in full. If there are no deviation please mention “no deviation in Allotment Letter “ Form 3 (CA Certificate) -, Submit Form 3 as per the format as specified under the GOM notification dated 22 December 2021. 1) Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly,  note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed.					2) Please upload form 3 Table C as per sanctioned plan. 1) Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly,  note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed.					2) Please upload form 3 Table C as per sanctioned plan. Form 3 (CA Certificate) -, Submit Form 3 as per the format as specified under the GOM notification dated 22 December 2021. 1. Title Report not as per format. Upload latest (6 months) Title Report a/w Title Flow-in “Format A” of Cir 28/2021 dt 8.3.2021.					2. Provide dated Deviation Sheets for Agreement for Sale on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Agreement for Sale in full. If there are no deviation please mention “no deviation in agreement for sale “	3. Provide dated Deviation Sheets for Allotment Letter on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Allotment Letter in full. If there are no deviation please mention “no deviation in Allotment Letter “ Form 3 (CA Certificate) -, Submit Form 3 as per the format as specified under the GOM notification dated 22 December 2021. 1) Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly,  note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed.					2) Please upload form 3 Table C as per sanctioned plan. 1. Title Report not as per format. Upload latest (6 months) Title Report a/w Title Flow-in “Format A” of Cir 28/2021 dt 8.3.2021.					2. Provide dated Deviation Sheets for Agreement for Sale on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Agreement for Sale in full. If there are no deviation please mention “no deviation in agreement for sale “	3. Provide dated Deviation Sheets for Allotment Letter on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Allotment Letter in full. If there are no deviation please mention “no deviation in Allotment Letter “"
2024-10-10 15:26:43,LA VILLAGIO,Done,Done,In Process (Desk 2 Comment),Not Submited,Not Submited,No Complaint Found,"1.In project details, plot No / CTS No. / Survey No. /Final Plot No. does not tally with CC. Kindly, correct as mention in CC. 2.Upload readable sanctioned building plans of all/ typical floors showing Area Pro-forma with sign and seal of competent Authority., 3.The application will be scrutinized only on uploading the readable sanctioned layout/ building plans without splitting. 4.Upload Revalidated CC / plinth checking certificate/Appendix F as per Regulation No.2.8.4 of UDPCR-2020, also upload FORM 1, FORM 2 and update the task activity accordingly., 5.Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly, note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed. 6.In Form B mention CTS No/survey No./ Final plot No.as per sanctioned CC and Identification of the bldg./ wing as per sanction plan 7.Sanctioned FSI of the project applied for registration (Sanctioned Built-up Area in sq. mt.) does not tally with sanctioned plan. Kindly correct as per sanctioned plan and highlight on the plan. 8.In building details, No. of Basement/ Plinth/ Podium/ Sanctioned Floors/Stilts/Parking/Apartment Type/ Carpet Area/No of Apartments, does not tally with the sanctioned plan, kindly correct as per the sanctioned plan., 9.Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan 1.In project details, plot No / CTS No. / Survey No. /Final Plot No. does not tally with CC. Kindly, correct as mention in CC. 2.Upload readable sanctioned building plans of all/ typical floors showing Area Pro-forma with sign and seal of competent Authority., 3.The application will be scrutinized only on uploading the readable sanctioned layout/ building plans without splitting. 4.Upload Revalidated CC / plinth checking certificate/Appendix F as per Regulation No.2.8.4 of UDPCR-2020, also upload FORM 1, FORM 2 and update the task activity accordingly., 5.Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly, note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed. 6.In Form B mention CTS No/survey No./ Final plot No.as per sanctioned CC and Identification of the bldg./ wing as per sanction plan 7.Sanctioned FSI of the project applied for registration (Sanctioned Built-up Area in sq. mt.) does not tally with sanctioned plan. Kindly correct as per sanctioned plan and highlight on the plan. 8.In building details, No. of Basement/ Plinth/ Podium/ Sanctioned Floors/Stilts/Parking/Apartment Type/ Carpet Area/No of Apartments, does not tally with the sanctioned plan, kindly correct as per the sanctioned plan., 9.Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan 1.In project details, plot No / CTS No. / Survey No. /Final Plot No. does not tally with CC. Kindly, correct as mention in CC. 2.Upload readable sanctioned building plans of all/ typical floors showing Area Pro-forma with sign and seal of competent Authority., 3.The application will be scrutinized only on uploading the readable sanctioned layout/ building plans without splitting. 4.Upload Revalidated CC / plinth checking certificate/Appendix F as per Regulation No.2.8.4 of UDPCR-2020, also upload FORM 1, FORM 2 and update the task activity accordingly., 5.Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly, note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed. 6.In Form B mention CTS No/survey No./ Final plot No.as per sanctioned CC and Identification of the bldg./ wing as per sanction plan 7.Sanctioned FSI of the project applied for registration (Sanctioned Built-up Area in sq. mt.) does not tally with sanctioned plan. Kindly correct as per sanctioned plan and highlight on the plan. 8.In building details, No. of Basement/ Plinth/ Podium/ Sanctioned Floors/Stilts/Parking/Apartment Type/ Carpet Area/No of Apartments, does not tally with the sanctioned plan, kindly correct as per the sanctioned plan., 9.Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan"
2024-10-10 15:27:45,Shraddha Presidency,Done,Done,Certificate Generated,Certificate Generated,Not Submited,No Complaint Found,
2024-10-10 15:27:45,Shivmangal Residency,Done,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:27:45,Shraddha Imperia,Done,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:27:45,Bhandup Siddhivinayak CHS Ltd,Done,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:27:45,Vanita Sadan CHS,Pending,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:29:09,Netra Residency,Done,Rs.5915.75/- Penalty Payment Pending Remark:MahaRERA order No. 32/2022 dated 01.07.2022.Make Penalty Payment,In Process (Desk 2 Comment),Not Submited,Not Submited,No Complaint Found,"Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative."
2024-10-10 15:29:09,Netra Residency,Done,Pending,Not Submited,Not Submited,Not Submited,No Complaint Found,"Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative. Inspite of repeated comments, Application is resubmitted without proper compliances and incomplete. Hence, resubmission of application shall be considered only on payment of penalty of 25% of the registration fees as per MahaRERA order No. 32/2022 dated 01.07.2022. Legal Title Report_ Provide correct CTS no./ Survey no. as mentioned in application. Please ensure that Gat/CTS no. mentioned in application match with title report and Development Agreement. Gat No. as per application is 52/1 and as per DA and title report it is Survey no. 52/1/C/1, 52/1/C/2, 52/1/B/2. Please reconcile. 2. Since your Application is still deficient in compliances, kindly contact helpdesk of MahaRERA or your SRO Representative."
2024-10-10 15:30:28,Gurukrupa Residency,Pending,Pending,Not Submited,Not Submited,Not Submited,No Complaint Found,
