updated_as_on,project_name,application_status,payment_status,scrutiny_status,correction_status,extension_status,complain_against_status,comments
2024-10-10 15:30:28,GURUKRUPA RESIDENCY,Done,Done,In Process (Desk 2 Comment),Not Submited,Not Submited,No Complaint Found,"A) sending back to promotor for correction in the application form. 1) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan, (As per Building details, Sale units=32 & Landowner's units=4). B)  Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application., Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan.(As per Building details, Sale units=32 & Landowner's units=4) . C)  1. Provide complete readable copy of Registered Development Agreement in the Landowner/ Investor's details Tab( In the name of Legal Heirs and kindly upload Register LA Certificate. also mention about original landowner and his legal heir. 2. Provide allotment of Parking clause as per Order No. 54 dated 29.04.2024 in Agreement for sale and Allotment letter both. D)  Please contact SRO  for further assistance. Submit application only after co -ordinating with SRO. A) sending back to promotor for correction in the application form. 1) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan, (As per Building details, Sale units=32 & Landowner's units=4). B)  Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application., Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan.(As per Building details, Sale units=32 & Landowner's units=4) . C)  1. Provide complete readable copy of Registered Development Agreement in the Landowner/ Investor's details Tab( In the name of Legal Heirs and kindly upload Register LA Certificate. also mention about original landowner and his legal heir. 2. Provide allotment of Parking clause as per Order No. 54 dated 29.04.2024 in Agreement for sale and Allotment letter both. D)  Please contact SRO  for further assistance. Submit application only after co -ordinating with SRO. A) sending back to promotor for correction in the application form. 1) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan, (As per Building details, Sale units=32 & Landowner's units=4). B)  Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application., Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan.(As per Building details, Sale units=32 & Landowner's units=4) . C)  1. Provide complete readable copy of Registered Development Agreement in the Landowner/ Investor's details Tab( In the name of Legal Heirs and kindly upload Register LA Certificate. also mention about original landowner and his legal heir. 2. Provide allotment of Parking clause as per Order No. 54 dated 29.04.2024 in Agreement for sale and Allotment letter both. D)  Please contact SRO  for further assistance. Submit application only after co -ordinating with SRO. A) sending back to promotor for correction in the application form. 1) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan, (As per Building details, Sale units=32 & Landowner's units=4). B)  Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application., Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan.(As per Building details, Sale units=32 & Landowner's units=4) . C)  1. Provide complete readable copy of Registered Development Agreement in the Landowner/ Investor's details Tab( In the name of Legal Heirs and kindly upload Register LA Certificate. also mention about original landowner and his legal heir. 2. Provide allotment of Parking clause as per Order No. 54 dated 29.04.2024 in Agreement for sale and Allotment letter both. D)  Please contact SRO  for further assistance. Submit application only after co -ordinating with SRO."
2024-10-10 15:32:04,Triveni Heights,Pending,Done,In Process (Desk 1 Comment),Not Submited,Not Submited,No Complaint Found,"1. Upload Redevelopment agreement in other legal tab.2. Upload Agreement to Lease in other legal tab.3. Provide dated Deviation Sheet for Agreement for Sale on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Agreement for Sale in full. 1)Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly,  note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed.					2)Please refer MahaRERA Order No.50/2024 dated 10.01.2024, it is mandatory to upload Declaration-Cum-Undertaking in Annexure-'A'. 1. Upload Redevelopment agreement in other legal tab.2. Upload Agreement to Lease in other legal tab.3. Provide dated Deviation Sheet for Agreement for Sale on Promoter’s Letterhead- provide all the deviated clauses and additional clauses with respect to model Agreement for Sale in full. 1)Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly,  note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed.					2)Please refer MahaRERA Order No.50/2024 dated 10.01.2024, it is mandatory to upload Declaration-Cum-Undertaking in Annexure-'A'."
2024-10-10 15:34:01,NEELDHARA,Done,Done,In Process (Desk 1 Comment),Not Submited,Not Submited,No Complaint Found,"1. Provide death certificate of Sharadchandra Mhaskar in other legal tab. 2. Legal Title report_As Sharadchandra Mhaskar has expired, please update legal title report and names of 'owner of land' accordingly.3. Provide Affidavit and Notarized Declaration in Form B format for landowners mentioned in the application form. As Sharadchandra Mhaskar has expired provide Form B of Legal heirs of deceased. 4. Since your Application is still deficient in compliances, kindly attend open house on Thursday at 3 pm by filing the google form. The ID and Password can be taken from the SRO or contact helpdesk of MahaRERA. 1. Provide death certificate of Sharadchandra Mhaskar in other legal tab. 2. Legal Title report_As Sharadchandra Mhaskar has expired, please update legal title report and names of 'owner of land' accordingly.3. Provide Affidavit and Notarized Declaration in Form B format for landowners mentioned in the application form. As Sharadchandra Mhaskar has expired provide Form B of Legal heirs of deceased. 4. Since your Application is still deficient in compliances, kindly attend open house on Thursday at 3 pm by filing the google form. The ID and Password can be taken from the SRO or contact helpdesk of MahaRERA. 1. Provide death certificate of Sharadchandra Mhaskar in other legal tab. 2. Legal Title report_As Sharadchandra Mhaskar has expired, please update legal title report and names of 'owner of land' accordingly.3. Provide Affidavit and Notarized Declaration in Form B format for landowners mentioned in the application form. As Sharadchandra Mhaskar has expired provide Form B of Legal heirs of deceased. 4. Since your Application is still deficient in compliances, kindly attend open house on Thursday at 3 pm by filing the google form. The ID and Password can be taken from the SRO or contact helpdesk of MahaRERA. 1. Provide death certificate of Sharadchandra Mhaskar in other legal tab. 2. Legal Title report_As Sharadchandra Mhaskar has expired, please update legal title report and names of 'owner of land' accordingly.3. Provide Affidavit and Notarized Declaration in Form B format for landowners mentioned in the application form. As Sharadchandra Mhaskar has expired provide Form B of Legal heirs of deceased. 4. Since your Application is still deficient in compliances, kindly attend open house on Thursday at 3 pm by filing the google form. The ID and Password can be taken from the SRO or contact helpdesk of MahaRERA. 1. Provide death certificate of Sharadchandra Mhaskar in other legal tab. 2. Legal Title report_As Sharadchandra Mhaskar has expired, please update legal title report and names of 'owner of land' accordingly.3. Provide Affidavit and Notarized Declaration in Form B format for landowners mentioned in the application form. As Sharadchandra Mhaskar has expired provide Form B of Legal heirs of deceased. 4. Since your Application is still deficient in compliances, kindly attend open house on Thursday at 3 pm by filing the google form. The ID and Password can be taken from the SRO or contact helpdesk of MahaRERA. 1. Provide death certificate of Sharadchandra Mhaskar in other legal tab. 2. Legal Title report_As Sharadchandra Mhaskar has expired, please update legal title report and names of 'owner of land' accordingly.3. Provide Affidavit and Notarized Declaration in Form B format for landowners mentioned in the application form. As Sharadchandra Mhaskar has expired provide Form B of Legal heirs of deceased. 4. Since your Application is still deficient in compliances, kindly attend open house on Thursday at 3 pm by filing the google form. The ID and Password can be taken from the SRO or contact helpdesk of MahaRERA."
2024-10-10 15:34:28,Hive,Done,Done,In Process (Desk 1 Comment),Not Submited,Not Submited,No Complaint Found,"1. Financial Encumbrance Declaration -, Reconcile project address (Plot no.) in encumbrance declaration with registration application.	2. CERSAI report -, Reconcile project address (Plot no.) in CERSAI report/ no CERSAI undertaking with registration application. 1) Unsanctioned/ unsigned bldg. plans are uploaded., 2) Upload sanctioned building plans of all/ typical floors showing Area Pro-forma with sign and seal of competent Authority.	3) Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly,  note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed.	4) Upload Declaration about CC in Format-D on promoter letter head with sign and stamp image, as per circular No.32 dated,07/06/2021 1. Financial Encumbrance Declaration -, Reconcile project address (Plot no.) in encumbrance declaration with registration application.	2. CERSAI report -, Reconcile project address (Plot no.) in CERSAI report/ no CERSAI undertaking with registration application. 1) Unsanctioned/ unsigned bldg. plans are uploaded., 2) Upload sanctioned building plans of all/ typical floors showing Area Pro-forma with sign and seal of competent Authority.	3) Please refer UD's resolution dated 23.02.2023 and subsequent MahaRERA's order u/no 45 of 2023 dated 15.05.2023, regarding verifying the authenticity/genuineness of CC/OC. Kindly,  note that on receipt of comments from the competent authority from their designated email on respective MahaRERA email (as mentioned in order u/no. 45 of 2023 dated 15.05.2023) your application will be processed.	4) Upload Declaration about CC in Format-D on promoter letter head with sign and stamp image, as per circular No.32 dated,07/06/2021"
2024-10-10 15:34:55,HS One,Done,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:35:32,CHHINDAM BUSINESS CENTER,Done,Done,In Process (Desk 2 Comment),Not Submited,Not Submited,No Complaint Found,"A) In view of UD's resolution dated 23.02.2023 & MahaRERA's order dated 15.05.2023, confirmation email from concerned planning authority regarding verifying the authenticity/genuineness of CC is yet to be received. on receipt of the same, your application will be processed. Kindly contact the concern SRO-NAREDCO (Ad. Sangam Jadhav-9773121414). 2) Since Area Share is mentioned in Development Agreement between Landowner and Developer, Kindly mention, in building details, in column for Apartment Type, mention office Space( Landowner/Sale), Shop( Landowner/Sale) as per sanctioned Plan/ CC/ Form-3/Table-C/Development Agreement. Accordingly correct the Form-3/Table-C. 3) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan(Shops=129, Office=140, Total units=269 nos.).B)  Form 3 (CA Certificate) -, Reconcile number of units as per Table C with registration application., Please mention units allotted to landowners/existing tenants in Form 3 (Table C) if any without mentioning unit consideration against such units in Table C., Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application. 2. Bank Declaration -, Bank details given in declaration are mismatched with details in form 3 table E. 3. Please contact SRO - NAREDCO (Adv. Sangam Jadhav/Roma) for further assistance. Submit application only after co-ordinating with SRO. A) In view of UD's resolution dated 23.02.2023 & MahaRERA's order dated 15.05.2023, confirmation email from concerned planning authority regarding verifying the authenticity/genuineness of CC is yet to be received. on receipt of the same, your application will be processed. Kindly contact the concern SRO-NAREDCO (Ad. Sangam Jadhav-9773121414). 2) Since Area Share is mentioned in Development Agreement between Landowner and Developer, Kindly mention, in building details, in column for Apartment Type, mention office Space( Landowner/Sale), Shop( Landowner/Sale) as per sanctioned Plan/ CC/ Form-3/Table-C/Development Agreement. Accordingly correct the Form-3/Table-C. 3) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan(Shops=129, Office=140, Total units=269 nos.).B)  Form 3 (CA Certificate) -, Reconcile number of units as per Table C with registration application., Please mention units allotted to landowners/existing tenants in Form 3 (Table C) if any without mentioning unit consideration against such units in Table C., Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application. 2. Bank Declaration -, Bank details given in declaration are mismatched with details in form 3 table E. 3. Please contact SRO - NAREDCO (Adv. Sangam Jadhav/Roma) for further assistance. Submit application only after co-ordinating with SRO. A) In view of UD's resolution dated 23.02.2023 & MahaRERA's order dated 15.05.2023, confirmation email from concerned planning authority regarding verifying the authenticity/genuineness of CC is yet to be received. on receipt of the same, your application will be processed. Kindly contact the concern SRO-NAREDCO (Ad. Sangam Jadhav-9773121414). 2) Since Area Share is mentioned in Development Agreement between Landowner and Developer, Kindly mention, in building details, in column for Apartment Type, mention office Space( Landowner/Sale), Shop( Landowner/Sale) as per sanctioned Plan/ CC/ Form-3/Table-C/Development Agreement. Accordingly correct the Form-3/Table-C. 3) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan(Shops=129, Office=140, Total units=269 nos.).B)  Form 3 (CA Certificate) -, Reconcile number of units as per Table C with registration application., Please mention units allotted to landowners/existing tenants in Form 3 (Table C) if any without mentioning unit consideration against such units in Table C., Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application. 2. Bank Declaration -, Bank details given in declaration are mismatched with details in form 3 table E. 3. Please contact SRO - NAREDCO (Adv. Sangam Jadhav/Roma) for further assistance. Submit application only after co-ordinating with SRO. A) In view of UD's resolution dated 23.02.2023 & MahaRERA's order dated 15.05.2023, confirmation email from concerned planning authority regarding verifying the authenticity/genuineness of CC is yet to be received. on receipt of the same, your application will be processed. Kindly contact the concern SRO-NAREDCO (Ad. Sangam Jadhav-9773121414). 2) Since Area Share is mentioned in Development Agreement between Landowner and Developer, Kindly mention, in building details, in column for Apartment Type, mention office Space( Landowner/Sale), Shop( Landowner/Sale) as per sanctioned Plan/ CC/ Form-3/Table-C/Development Agreement. Accordingly correct the Form-3/Table-C. 3) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan(Shops=129, Office=140, Total units=269 nos.).B)  Form 3 (CA Certificate) -, Reconcile number of units as per Table C with registration application., Please mention units allotted to landowners/existing tenants in Form 3 (Table C) if any without mentioning unit consideration against such units in Table C., Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application. 2. Bank Declaration -, Bank details given in declaration are mismatched with details in form 3 table E. 3. Please contact SRO - NAREDCO (Adv. Sangam Jadhav/Roma) for further assistance. Submit application only after co-ordinating with SRO. A) In view of UD's resolution dated 23.02.2023 & MahaRERA's order dated 15.05.2023, confirmation email from concerned planning authority regarding verifying the authenticity/genuineness of CC is yet to be received. on receipt of the same, your application will be processed. Kindly contact the concern SRO-NAREDCO (Ad. Sangam Jadhav-9773121414). 2) Since Area Share is mentioned in Development Agreement between Landowner and Developer, Kindly mention, in building details, in column for Apartment Type, mention office Space( Landowner/Sale), Shop( Landowner/Sale) as per sanctioned Plan/ CC/ Form-3/Table-C/Development Agreement. Accordingly correct the Form-3/Table-C. 3) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan(Shops=129, Office=140, Total units=269 nos.).B)  Form 3 (CA Certificate) -, Reconcile number of units as per Table C with registration application., Please mention units allotted to landowners/existing tenants in Form 3 (Table C) if any without mentioning unit consideration against such units in Table C., Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application. 2. Bank Declaration -, Bank details given in declaration are mismatched with details in form 3 table E. 3. Please contact SRO - NAREDCO (Adv. Sangam Jadhav/Roma) for further assistance. Submit application only after co-ordinating with SRO. A) In view of UD's resolution dated 23.02.2023 & MahaRERA's order dated 15.05.2023, confirmation email from concerned planning authority regarding verifying the authenticity/genuineness of CC is yet to be received. on receipt of the same, your application will be processed. Kindly contact the concern SRO-NAREDCO (Ad. Sangam Jadhav-9773121414). 2) Since Area Share is mentioned in Development Agreement between Landowner and Developer, Kindly mention, in building details, in column for Apartment Type, mention office Space( Landowner/Sale), Shop( Landowner/Sale) as per sanctioned Plan/ CC/ Form-3/Table-C/Development Agreement. Accordingly correct the Form-3/Table-C. 3) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan(Shops=129, Office=140, Total units=269 nos.).B)  Form 3 (CA Certificate) -, Reconcile number of units as per Table C with registration application., Please mention units allotted to landowners/existing tenants in Form 3 (Table C) if any without mentioning unit consideration against such units in Table C., Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application. 2. Bank Declaration -, Bank details given in declaration are mismatched with details in form 3 table E. 3. Please contact SRO - NAREDCO (Adv. Sangam Jadhav/Roma) for further assistance. Submit application only after co-ordinating with SRO. A) In view of UD's resolution dated 23.02.2023 & MahaRERA's order dated 15.05.2023, confirmation email from concerned planning authority regarding verifying the authenticity/genuineness of CC is yet to be received. on receipt of the same, your application will be processed. Kindly contact the concern SRO-NAREDCO (Ad. Sangam Jadhav-9773121414). 2) Since Area Share is mentioned in Development Agreement between Landowner and Developer, Kindly mention, in building details, in column for Apartment Type, mention office Space( Landowner/Sale), Shop( Landowner/Sale) as per sanctioned Plan/ CC/ Form-3/Table-C/Development Agreement. Accordingly correct the Form-3/Table-C. 3) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan(Shops=129, Office=140, Total units=269 nos.).B)  Form 3 (CA Certificate) -, Reconcile number of units as per Table C with registration application., Please mention units allotted to landowners/existing tenants in Form 3 (Table C) if any without mentioning unit consideration against such units in Table C., Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application. 2. Bank Declaration -, Bank details given in declaration are mismatched with details in form 3 table E. 3. Please contact SRO - NAREDCO (Adv. Sangam Jadhav/Roma) for further assistance. Submit application only after co-ordinating with SRO. A) In view of UD's resolution dated 23.02.2023 & MahaRERA's order dated 15.05.2023, confirmation email from concerned planning authority regarding verifying the authenticity/genuineness of CC is yet to be received. on receipt of the same, your application will be processed. Kindly contact the concern SRO-NAREDCO (Ad. Sangam Jadhav-9773121414). 2) Since Area Share is mentioned in Development Agreement between Landowner and Developer, Kindly mention, in building details, in column for Apartment Type, mention office Space( Landowner/Sale), Shop( Landowner/Sale) as per sanctioned Plan/ CC/ Form-3/Table-C/Development Agreement. Accordingly correct the Form-3/Table-C. 3) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan(Shops=129, Office=140, Total units=269 nos.).B)  Form 3 (CA Certificate) -, Reconcile number of units as per Table C with registration application., Please mention units allotted to landowners/existing tenants in Form 3 (Table C) if any without mentioning unit consideration against such units in Table C., Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application. 2. Bank Declaration -, Bank details given in declaration are mismatched with details in form 3 table E. 3. Please contact SRO - NAREDCO (Adv. Sangam Jadhav/Roma) for further assistance. Submit application only after co-ordinating with SRO. A) In view of UD's resolution dated 23.02.2023 & MahaRERA's order dated 15.05.2023, confirmation email from concerned planning authority regarding verifying the authenticity/genuineness of CC is yet to be received. on receipt of the same, your application will be processed. Kindly contact the concern SRO-NAREDCO (Ad. Sangam Jadhav-9773121414). 2) Since Area Share is mentioned in Development Agreement between Landowner and Developer, Kindly mention, in building details, in column for Apartment Type, mention office Space( Landowner/Sale), Shop( Landowner/Sale) as per sanctioned Plan/ CC/ Form-3/Table-C/Development Agreement. Accordingly correct the Form-3/Table-C. 3) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan(Shops=129, Office=140, Total units=269 nos.).B)  Form 3 (CA Certificate) -, Reconcile number of units as per Table C with registration application., Please mention units allotted to landowners/existing tenants in Form 3 (Table C) if any without mentioning unit consideration against such units in Table C., Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application. 2. Bank Declaration -, Bank details given in declaration are mismatched with details in form 3 table E. 3. Please contact SRO - NAREDCO (Adv. Sangam Jadhav/Roma) for further assistance. Submit application only after co-ordinating with SRO. A) In view of UD's resolution dated 23.02.2023 & MahaRERA's order dated 15.05.2023, confirmation email from concerned planning authority regarding verifying the authenticity/genuineness of CC is yet to be received. on receipt of the same, your application will be processed. Kindly contact the concern SRO-NAREDCO (Ad. Sangam Jadhav-9773121414). 2) Since Area Share is mentioned in Development Agreement between Landowner and Developer, Kindly mention, in building details, in column for Apartment Type, mention office Space( Landowner/Sale), Shop( Landowner/Sale) as per sanctioned Plan/ CC/ Form-3/Table-C/Development Agreement. Accordingly correct the Form-3/Table-C. 3) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan(Shops=129, Office=140, Total units=269 nos.).B)  Form 3 (CA Certificate) -, Reconcile number of units as per Table C with registration application., Please mention units allotted to landowners/existing tenants in Form 3 (Table C) if any without mentioning unit consideration against such units in Table C., Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application. 2. Bank Declaration -, Bank details given in declaration are mismatched with details in form 3 table E. 3. Please contact SRO - NAREDCO (Adv. Sangam Jadhav/Roma) for further assistance. Submit application only after co-ordinating with SRO. A) In view of UD's resolution dated 23.02.2023 & MahaRERA's order dated 15.05.2023, confirmation email from concerned planning authority regarding verifying the authenticity/genuineness of CC is yet to be received. on receipt of the same, your application will be processed. Kindly contact the concern SRO-NAREDCO (Ad. Sangam Jadhav-9773121414). 2) Since Area Share is mentioned in Development Agreement between Landowner and Developer, Kindly mention, in building details, in column for Apartment Type, mention office Space( Landowner/Sale), Shop( Landowner/Sale) as per sanctioned Plan/ CC/ Form-3/Table-C/Development Agreement. Accordingly correct the Form-3/Table-C. 3) Kindly correct the Form 3- Table C, as per the apartments/units approved in the sanctioned building plan(Shops=129, Office=140, Total units=269 nos.).B)  Form 3 (CA Certificate) -, Reconcile number of units as per Table C with registration application., Please mention units allotted to landowners/existing tenants in Form 3 (Table C) if any without mentioning unit consideration against such units in Table C., Please indicate units allotted to landowners/existing tenants as landowner/rehab unit in apartment type column in building details in registration application. 2. Bank Declaration -, Bank details given in declaration are mismatched with details in form 3 table E. 3. Please contact SRO - NAREDCO (Adv. Sangam Jadhav/Roma) for further assistance. Submit application only after co-ordinating with SRO."
2024-10-10 15:36:00,INNOVATIVE INFOCOM AND IT PARKS,Done,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:36:41,ARIHANT ARSHIYA PHASE II,Done,Done,Certificate Generated,Not Submited,Certificate Generated,No Complaint Found,
2024-10-10 15:36:41,ARIHANT ARSHIYA PHASE III,Done,Done,Certificate Generated,Not Submited,Not Submited,View,
2024-10-10 15:36:41,ARIHANT AAROHI PHASE I,Done,Done,Certificate Generated,Not Submited,Certificate Generated,No Complaint Found,
2024-10-10 15:36:41,ARIHANT AAROHI PHASE II,Done,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
2024-10-10 15:36:41,4Anaika,Done,Done,Certificate Generated,Certificate Generated,Not Submited,View,
2024-10-10 15:36:41,ARIHANT AAKARSHAN PHASE I,Done,Done,Certificate Generated,Not Submited,Not Submited,View,
2024-10-10 15:36:41,ARIHANT ADARSH PHASE I,Done,Done,Certificate Generated,Certificate Generated,Certificate Generated,No Complaint Found,
2024-10-10 15:36:41,ARIHANT AARADHYA PHASE I,Done,Done,Certificate Generated,"In Process More Information Required-Kindly Upload 1;For changes in built area u/s 14(2) Kindly upload consent of 2/3rd allottees in format- C as per circular No; 28 date; 8;3;21 Upload sanction amended plan and Commencement Certificates ,highlight changes value on plan/documents A; Upload Following Mandatory compliance; 1) Form-1,2 Form-3 & 5, Form -2A; as per GOM notification dt; 22;12;2021; 2) Re-endorsed / Revalidated commencement certificate; 3) Kindly update All project details such as sold/unsold units, Task and activity etc;;Upload the following documents, (as per Circular No;43/2023 dated; 20/02/2023) 
1) Self-declaration on promotor letter head explaining the rationale for change/transfer of the separate designated bank account from one schedule bank / branch to another;
2) Duly Notarized Declaration-Cum Undertaking as per the format prescribed in 'A' annexed hereto;
3) Latest Chartered Accountant certified Form 3;
4) Declaration in Format 'A' as per Order No; 34 of 2022 dated 27;07;20222 issued by MahaRERA;
-Desk - 2",Not Submited,View,
2024-10-10 15:36:41,ARIHANT AARADHYA PHASE II,Done,Done,Certificate Generated,Not Submited,Not Submited,No Complaint Found,
